-1.0,-0.93203, error: 9.085967226263314e-06
-0.98,-0.92042, error: 0.004183008008720401
-0.96,-0.90863, error: 0.008173744622966828
-0.94,-0.89665, error: 0.01198179489258322
-0.92,-0.88449, error: 0.015607801715705083
-0.9,-0.87215, error: 0.019052550498935505
-0.88,-0.85964, error: 0.022316967792147757
-0.86,-0.84695, error: 0.0254021198656863
-0.84,-0.8341, error: 0.0283092112305382
-0.82,-0.82107, error: 0.031039583102063006
-0.8,-0.80788, error: 0.03359471180789675
-0.78,-0.79452, error: 0.03597620714067051
-0.76,-0.78101, error: 0.038185810656198305
-0.74,-0.76733, error: 0.04022539391781421
-0.72,-0.7535, error: 0.04209695668756608
-0.7,-0.73952, error: 0.043802625064983336
-0.68,-0.72539, error: 0.04534464957416928
-0.66,-0.71112, error: 0.04672540319997687
-0.64,-0.6967, error: 0.04794737937405913
-0.62,-0.68213, error: 0.049013189911595645
-0.6,-0.66743, error: 0.04992556289952277
-0.58,-0.65259, error: 0.050687340537110215
-0.56,-0.63762, error: 0.05130147692975118
-0.54,-0.62252, error: 0.05177103583684506
-0.52,-0.60729, error: 0.05209918837467309
-0.5,-0.59193, error: 0.0522892106751911
-0.48,-0.57645, error: 0.05234448150166837
-0.46,-0.56085, error: 0.05226847982213367
-0.44,-0.54513, error: 0.05206478234159195
-0.42,-0.5293, error: 0.0517370609940051
-0.4,-0.51335, error: 0.051289080395035436
-0.38,-0.4973, error: 0.05072469525657369
-0.36,-0.48114, error: 0.05004784776408361
-0.34,-0.46487, error: 0.04926256491781322
-0.32,-0.44851, error: 0.04837295583893675
-0.3,-0.43204, error: 0.04738320904170301
-0.28,-0.41548, error: 0.04629758967268294
-0.26,-0.39883, error: 0.045120436718219914
-0.24,-0.38208, error: 0.04385616018119959
-0.22,-0.36525, error: 0.04250923822827013
-0.2,-0.34833, error: 0.041084214308650446
-0.18,-0.33133, error: 0.039585694245682645
-0.16,-0.31426, error: 0.038018343302289925
-0.14,-0.2971, error: 0.03638688322151434
-0.12,-0.27987, error: 0.03469608924331774
-0.1,-0.26257, error: 0.03295078709883953
-0.08,-0.2452, error: 0.031155849983313694
-0.06,-0.22776, error: 0.02931619550885517
-0.04,-0.21027, error: 0.027436782638334573
-0.02,-0.19271, error: 0.025522608601569324
0.0,-0.17509, error: 0.023578705795061217
0.02,-0.15742, error: 0.021610138666524226
0.04,-0.1397, error: 0.019622000585445998
0.06,-0.12192, error: 0.017619410700936478
0.08,-0.1041, error: 0.015607510788119394
0.1,-0.08624, error: 0.01359146208432814
0.12,-0.06834, error: 0.011576442116372668
0.14,-0.0504, error: 0.009567641520144637
0.16,-0.03242, error: 0.0075702608538341515
0.18,-0.01441, error: 0.005589507406033145
0.2,0.00363, error: 0.0036305920000000297
0.22,0.0217, error: 0.0016987257953669788
0.24,0.03979, error: 0.00020088291143414982
0.26,0.0579, error: 0.0020630318867446568
0.28,0.07603, error: 0.003882528157972659
0.3,0.09418, error: 0.005654191209328127
0.32,0.11234, error: 0.007372856173719355
0.34,0.13051, error: 0.00903337701953652
0.36,0.14869, error: 0.010630629731046004
0.38,0.16687, error: 0.012159515481124122
0.4,0.18505, error: 0.013614963795061191
0.42,0.20324, error: 0.014991935704169318
0.44,0.22142, error: 0.016285426887934606
0.46,0.23959, error: 0.01749047080345506
0.48,0.25775, error: 0.018602141800913796
0.5,0.2759, error: 0.01961555822383959
0.52,0.29404, error: 0.020525885492917673
0.54,0.31216, error: 0.021328339172114352
0.56,0.33026, error: 0.02201818801588995
0.58,0.34833, error: 0.022590756996282657
0.6,0.36638, error: 0.02304143030865058
0.62,0.38439, error: 0.023365654354870147
0.64,0.40238, error: 0.023558940702799458
0.66,0.42033, error: 0.02361686902081972
0.68,0.43824, error: 0.023535089986282787
0.7,0.45612, error: 0.023309328166702892
0.72,0.47394, error: 0.022935384872536546
0.74,0.49173, error: 0.02240914098041319
0.76,0.50946, error: 0.02172655972568338
0.78,0.52714, error: 0.02088368946317376
0.8,0.54477, error: 0.01987666639503538
0.82,0.56233, error: 0.018701717264605344
0.84,0.57984, error: 0.01735516201519194
0.86,0.59728, error: 0.015833416412733947
0.88,0.61466, error: 0.01413299463126838
0.9,0.63197, error: 0.012250511800190989
0.92,0.6492, error: 0.010182686512273054
0.94,0.66636, error: 0.007926343291445148
0.96,0.68344, error: 0.005478415019351313
0.98,0.70044, error: 0.002835945319710098
1.0,0.71736, error: 3.909100477206273e-06
